x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,y
0.4174110031,0.2221078105,0.1198653673,0.3376151714,0.9429097039,0.323202932,0.5187906217,0.7030189589,0.3636296024,0.9717820827,0.9624472949,0.2517822958,0.4972485059,0.3008783098,0.2848404944,0.03688694735,0.609564334,0.5026790232,0.05147875125,0.2786464642,0.908265886,0.2395618907,0.1448948721,0.4894527603,0.9856504541,0.2420552715,0.6721355474,0.7616196153,0.237637544,0.7282163486,0.3677831327,0.6323058306,0.6335297108,0.5357746841,0.09028977005,0.8353024956,0.320780065,0.1865185104,0.04077514155,0.5908929432,0.6775643618,0.01658782893,0.5120930583,0.2264957752,0.6451727904,0.174366429,0.6909377381,0.3867353463,0.9367299887,0.1375209441,0.3410663511,0.1134735212,0.9246936183,0.8773393534,0.2579416277,0.659984046,0.8172222002,0.5552008116,0.5296505784,0.2418522909,0.09310276781,0.897215758,0.9004180572,0.6331014573,0.339029791,0.3492095746,0.7259556789,0.89711026,0.8870864243,0.7798755459,0.6420316462,0.084139965,0.1616287141,0.8985541885,0.6064290597,0.009197051617,0.1014715429,0.6635017691,0.005061583846,0.1608080514,0.5487337894,0.6918951977,0.6519612595,0.2242693095,0.7121792213,0.2372490875,0.3253996982,0.7464914051,0.649632899,0.8492234105,0.6576128923,0.5683086033,0.09367476783,0.3677158031,0.2652023677,0.2439896434,0.9730105548,0.3930977247,0.8920465552,0.631138626,24.71326807
0.7948113035,0.5026370931,0.5769038846,0.4925176938,0.1952429878,0.7224521153,0.2807723624,0.02431596643,0.6454722959,0.1771106794,0.9404585844,0.953928577,0.9148643902,0.3701587003,0.01545661653,0.9283185626,0.4281841483,0.966654819,0.9636199771,0.8530094555,0.2944488921,0.3850977286,0.8511366715,0.3169220052,0.1694927467,0.5568012625,0.9361547742,0.6960297967,0.5700611701,0.09717649377,0.6150072267,0.9900538501,0.1400840152,0.5183296524,0.8773730719,0.7407686178,0.697015741,0.702484084,0.3594911512,0.2935918443,0.8093611555,0.8101133947,0.8670723186,0.9132405526,0.5113423989,0.5015162947,0.798295179,0.6499639308,0.7019668773,0.7957926694,0.8900053418,0.3379951569,0.3755829526,0.09398193984,0.578280141,0.0359422738,0.4655980181,0.5426446347,0.2865412521,0.5908332606,0.03050024994,0.03734818875,0.8226005607,0.3601906414,0.1270605127,0.5222432601,0.7699935531,0.2158210275,0.6228904758,0.08534746499,0.05168172117,0.5313546316,0.5406351216,0.6374299015,0.7260913337,0.9758520795,0.5163003483,0.3229564729,0.7951861948,0.2708322513,0.4389714207,0.07845638134,0.02535074342,0.9626484147,0.8359801205,0.6959742061,0.4089529444,0.1732943201,0.1564370427,0.2502428982,0.5492266647,0.7145959227,0.6601973767,0.2799338969,0.9548652807,0.7378969167,0.5543540525,0.6117207462,0.4196000624,0.2477309895,24.97333559
0.3559726787,0.7578461105,0.01439348863,0.1160726405,0.04600264202,0.04072880232,0.855460584,0.7036578594,0.4741738291,0.09783416065,0.4916158751,0.4734717708,0.1732018699,0.4338516492,0.3985047344,0.6158500981,0.6350936509,0.04530400977,0.3746126146,0.6258599157,0.5031362586,0.8564898412,0.6586936316,0.1629344271,0.0705687474,0.6424192782,0.02651131054,0.5857755813,0.9402302414,0.5754741779,0.3881699262,0.6432882184,0.4582528905,0.5456167893,0.9414648088,0.3861026378,0.9611905638,0.905350642,0.1957911348,0.06936130088,0.1007780014,0.01822182565,0.09444296076,0.6830067734,0.07118864846,0.3189756303,0.844875311,0.02327193574,0.8144684826,0.2818547748,0.1181648276,0.6967371654,0.6289428468,0.8774720135,0.7350710438,0.8034809304,0.2820345726,0.1774395438,0.7506147516,0.8068347393,0.990505142,0.4126176769,0.3720180858,0.7764129607,0.3408035403,0.9307573256,0.8584127518,0.4289940274,0.7508710678,0.7545428741,0.1031238688,0.9025529067,0.5052523724,0.8264574661,0.320049601,0.8955232285,0.3892016787,0.01083765148,0.9053819764,0.09128667679,0.3193136376,0.9500619671,0.9506071469,0.5734378881,0.6318372122,0.448445522,0.2932107717,0.3286645454,0.6725184561,0.7523745294,0.7915790437,0.7896181428,0.09120610305,0.4944203047,0.05755876002,0.5495288823,0.4415305014,0.8877041828,0.3509150126,0.1170670164,24.76747717
0.1429916821,0.7615106317,0.6182180633,0.1011226761,0.08410680611,0.7009691315,0.07276300636,0.8218600593,0.7062422272,0.08134878064,0.08483771409,0.9866395785,0.3742707958,0.3706421471,0.8127995673,0.9472485774,0.9860010638,0.7533781853,0.3762595855,0.0835007167,0.7771469159,0.5584042497,0.4242220092,0.9063543851,0.1111974823,0.4926251043,0.01135364477,0.468660642,0.05630327568,0.1188179163,0.1175262468,0.6492103021,0.7460448793,0.5833687651,0.9621725485,0.3748705795,0.2857120863,0.8685991282,0.2235958385,0.9632225394,0.01215447469,0.9698788267,0.04315991195,0.8911431137,0.5277011091,0.9929647961,0.07379656474,0.5538542844,0.9693025356,0.5230978442,0.6293986381,0.695748689,0.4545410648,0.6275580801,0.5843143119,0.9011580105,0.04544638034,0.2809631896,0.9504114841,0.8902637839,0.4556567528,0.6201325978,0.277381183,0.1881211597,0.4636984049,0.353352228,0.5836561119,0.07773463696,0.9743948077,0.9862107445,0.698161714,0.5360963663,0.3095276163,0.8137950197,0.6847311726,0.1626169393,0.9109271845,0.8225372429,0.9497999133,0.7257195084,0.6134151959,0.4182430363,0.9327284834,0.8660638895,0.04521867011,0.0263669745,0.3764633669,0.8105533308,0.9872761293,0.1504168911,0.5941307154,0.3808908566,0.9699143978,0.8421189231,0.8383287047,0.4686931598,0.4148195023,0.2734070719,0.05637549665,0.8647223763,23.75765842
0.8129010091,0.9997176733,0.9966368371,0.5554317056,0.7689874152,0.9447657299,0.8496473907,0.2473481017,0.4505441353,0.1291594152,0.9540510273,0.6061746345,0.2286428055,0.6717006844,0.6181282405,0.358162718,0.1135575922,0.6715731956,0.5203077009,0.7723183917,0.5201635011,0.8521815003,0.5519068388,0.5609379715,0.8766536027,0.4034828662,0.1340152285,0.02878267631,0.7551372557,0.6203095514,0.7040797681,0.2129641615,0.1363714756,0.01454466567,0.3505875588,0.5899176869,0.3922440451,0.437474922,0.9041586945,0.348255467,0.5139894892,0.7836530127,0.3965427823,0.6220867002,0.8623637087,0.9495206237,0.1470734809,0.9265876252,0.4921162931,0.2582443883,0.4591357562,0.9800325753,0.492618094,0.3287516103,0.6334008543,0.2401456188,0.07586332811,0.1288797219,0.128045839,0.1519026935,0.1388271726,0.6408747448,0.1818800844,0.3456672833,0.8967884099,0.4739616403,0.6675577385,0.1723198712,0.1922890188,0.04086861627,0.1689350631,0.278590339,0.1770104843,0.08870253376,0.1206358711,0.460778768,0.2063337184,0.364269861,0.5034172709,0.6903948286,0.03931213984,0.7994103989,0.6279003895,0.08175903195,0.8735786241,0.9208724005,0.06107795985,0.2768776481,0.8062012798,0.7482596904,0.1845210194,0.2093493233,0.3704721028,0.4845229852,0.6182547715,0.3689136396,0.4625347161,0.7474709381,0.03668320289,0.2524369443,21.4905701
0.7133495859,0.8952068377,0.5116774421,0.5321134853,0.1071720113,0.4474123668,0.5326172665,0.2424705036,0.2692432309,0.3772841631,0.02007119778,0.3220791656,0.211448007,0.3274973522,0.1197621318,0.8905272807,0.5935924536,0.6791023191,0.7891712386,0.4984421989,0.08692028809,0.5371065418,0.586841118,0.7454394742,0.4316595462,0.1275803028,0.2837759058,0.3630822964,0.6459172413,0.5707783047,0.3560967259,0.9865152488,0.6057748194,0.2372267917,0.1017824726,0.1528591392,0.2459577284,0.1606813733,0.1865670241,0.2850951687,0.1733735953,0.8967654246,0.08023374566,0.5245113896,0.410396827,0.9823786169,0.1120389022,0.397855599,0.9694704333,0.8655071259,0.8170720709,0.257902827,0.1708875874,0.6686432199,0.9293759891,0.556762893,0.5716126895,0.2799790937,0.7694929332,0.1870437486,0.3236792364,0.4254364386,0.5076103787,0.2424097324,0.1148368247,0.6106200424,0.2886305532,0.5812382214,0.1543627153,0.4811401019,0.5325894326,0.05182353682,0.3366042782,0.1344146769,0.06337497047,0.9899602324,0.322353845,0.8098744459,0.2546406548,0.6815027222,0.7602278599,0.5956387406,0.4715761886,0.4118409141,0.3488682665,0.9295291442,0.8306194078,0.9650269107,0.1242972235,0.7308674752,0.9383404568,0.1812330662,0.06649626737,0.7411206493,0.5744731132,0.8418287768,0.1397723766,0.7952673119,0.20162732,0.1636559429,23.83176225
0.1642657979,0.8145747202,0.6651972207,0.5230654248,0.3588304841,0.8772005408,0.3924451074,0.8165994395,0.4391349086,0.3769444294,0.4626797857,0.3013778742,0.7476093802,0.5027203901,0.2322126951,0.8995745733,0.3838912214,0.5435528611,0.906472111,0.6242379959,0.1168980407,0.9398321236,0.6277080531,0.3349056147,0.1392720727,0.7940251893,0.6200727559,0.533461092,0.8938925831,0.7885972112,0.1516748797,0.3117220678,0.2484891398,0.7439462926,0.03353243474,0.5698896849,0.7624586857,0.8767656368,0.3420817487,0.8212573047,0.110631737,0.8464522917,0.1274886623,0.3972872906,0.7972953658,0.1499174273,0.2292513952,0.7222525684,0.7200365365,0.6411476329,0.6939484445,0.5427244433,0.2517990589,0.3456959935,0.1815977168,0.9084505613,0.5833917948,0.4008514168,0.4620058036,0.9472833396,0.1533514031,0.586229832,0.5058886789,0.6114542354,0.01811018382,0.8721239089,0.9321182825,0.5651331836,0.6966508239,0.9224993812,0.7072386343,0.1525390429,0.5762883602,0.6067150464,0.4241306713,0.7364442356,0.9343670148,0.9255685129,0.4508393714,0.1132380458,0.984841199,0.8388980864,0.1246626812,0.9208418826,0.8698963621,0.5188380571,0.5912754357,0.3990027039,0.05476163882,0.3351972416,0.8028534486,0.004632023005,0.3334991717,0.3981686936,0.5373956029,0.9198556164,0.3463459944,0.3469532019,0.7375012481,0.4522179409,23.82046768
0.2246048229,0.4524395161,0.1408570204,0.1763869865,0.4983677727,0.4189254495,0.9148459011,0.3623938991,0.5805883503,0.6322642879,0.01309445659,0.663537372,0.1780359669,0.9610703175,0.1486627278,0.4146241237,0.08534966808,0.9968742518,0.5021950103,0.5953850173,0.06707647739,0.7499604704,0.2099055931,0.8980542894,0.2051396405,0.1906877207,0.03654966785,0.4720669451,0.5648411333,0.06570863943,0.7755276167,0.4532888347,0.5243902693,0.4407627469,0.4007630609,0.5596403313,0.1552402459,0.1819281305,0.861785621,0.9461154621,0.3733093163,0.2707446731,0.6439995432,0.4087341711,0.02538635566,0.1561525974,0.7159722288,0.6589239419,0.0270959925,0.2219721619,0.2310747966,0.6718927436,0.01971053775,0.104108582,0.7999160854,0.1785446621,0.6527461079,0.238182781,0.09944139276,0.243172191,0.7222669319,0.8556964681,0.8302198646,0.3971835296,0.6680851366,0.2049842954,0.2931477303,0.8963358185,0.01300192351,0.08550853085,0.2078862551,0.02653220387,0.1814354351,0.583041561,0.4214245506,0.8926717111,0.8174435617,0.3418173517,0.2594234334,0.3796924082,0.5902949425,0.2680636408,0.6241489078,0.4094116522,0.5520471809,0.4361265291,0.2944657595,0.948453307,0.7636057942,0.1401131758,0.8684679759,0.4874311982,0.8945522269,0.7998552559,0.4252135045,0.02246930832,0.2686773594,0.5416342147,0.6334782198,0.2578876854,19.79622534
0.1393560741,0.8349302368,0.9844021807,0.5256901823,0.1716792858,0.2723073265,0.01839067655,0.9142988066,0.1177510829,0.5765164755,0.2740552207,0.5541780025,0.6514203884,0.8297418037,0.2064212718,0.01099582866,0.1368856301,0.9000186418,0.8738900776,0.5974131022,0.6005168604,0.6650366745,0.1753712786,0.9144119459,0.4187705249,0.3831385282,0.5189177053,0.04696596678,0.1662833688,0.7380336164,0.08279866793,0.6031521095,0.2453491097,0.389295614,0.2886937368,0.3556727165,0.7190459052,0.2971217156,0.5664046403,0.4760504022,0.6636711654,0.9368297393,0.7325720972,0.2149403786,0.03118313506,0.2622640443,0.5950779307,0.05142581348,0.4963662472,0.5968428489,0.3342438908,0.7709122037,0.1065982531,0.07513778174,0.7281887562,0.4954913162,0.6884023964,0.4348273386,0.2464020332,0.8191023177,0.799415879,0.6946964709,0.2721451372,0.5902306669,0.3609738969,0.09158207333,0.9173135755,0.1368186309,0.9502373538,0.446005773,0.1851329288,0.5419009474,0.8729458359,0.7322248864,0.8065611479,0.6587833667,0.6922765645,0.8491956516,0.2496680089,0.4894249636,0.2212094418,0.987668008,0.9440593397,0.03942681137,0.7055751725,0.9252483174,0.1805753451,0.5679452306,0.9154882976,0.03394597859,0.6974202672,0.2973490074,0.9243961954,0.9710582452,0.9442664891,0.4742142167,0.862042651,0.8445493985,0.3191004732,0.8289154742,23.87461173
0.03700763472,0.5962698785,0.2300088373,0.1205668858,0.07695320163,0.6962887759,0.3398749638,0.7247667715,0.0653563408,0.3152903378,0.5394912924,0.7907231648,0.3187525029,0.6258913764,0.8859777482,0.6158631882,0.2329594748,0.02440078156,0.8700988739,0.02126941085,0.8747016727,0.528937134,0.9390676985,0.7987832358,0.9979341105,0.3507118155,0.7671882889,0.4019309136,0.4798756203,0.6275054632,0.8736771142,0.9840834692,0.7682734139,0.4177667822,0.4213570023,0.7375823016,0.2387771458,0.1104741131,0.3546221576,0.2872389917,0.2963081205,0.233607751,0.04209318964,0.01787393473,0.9877223897,0.4277731337,0.3843266472,0.6796472827,0.2182538879,0.949961184,0.7863450144,0.08941100231,0.4175807758,0.8791183076,0.9447320223,0.4674015112,0.6134113892,0.1670339461,0.9911686261,0.2316717014,0.9427317741,0.649646649,0.6077367949,0.512688511,0.2306698117,0.176528032,0.2204862091,0.1864382621,0.7795844736,0.3501252592,0.05784267656,0.9691026301,0.883785885,0.9277522832,0.9949078226,0.1738952492,0.3962420189,0.7582384757,0.6960206181,0.1538959063,0.815833125,0.2244405718,0.2238176148,0.5369744229,0.5929399348,0.5800862078,0.0914868374,0.8774608626,0.2656000426,0.1295149213,0.8887480799,0.9556514982,0.8621276173,0.8095160747,0.6552419806,0.5508573706,0.08698675991,0.4084532131,0.372688517,0.2597537838,22.79636286
